Codice Articolo,Lob Associata,Nome LOB,Inventario,Descrizione Articolo,Lob Associata Orig Norm,Lob Associata Cleaned,LOB Cleaning Decision
LAXLSS-00100-C007,1003,TBD******,Inventario,"ST CONNECTOR, 9/125µ, SIECOR UNICAM, CERAMIC FERRULE",1003,1003,unchanged
LAXLSS-00100-C009,1003,TBD******,Inventario,"ST CONNECTOR, 62.5/125µ, SIECOR UNICAM, CERAMIC FERRULE",1003,1003,unchanged
LB8-UM06E,2014,CONTROLLO ACCESSI,Inventario,Altoparlante metallico quadrato da parete,2014,2014,unchanged
L-BARPRO-AV,4015,CISCO COLLABORATION A CANONE,Inventario,Cisco Room Bar Pro AV Integrator License-electronic delivery,4015,4015,unchanged
LBB1935/20,2014,CONTROLLO ACCESSI,Inventario,BOOSTER SERIE PLENA 240w,2014,2014,unchanged
LBB1990/00,2014,CONTROLLO ACCESSI,Inventario,Controller serie Plena,2014,2014,unchanged
LBB4116/02,1002,CABLAGGIO ALTERNATIVO,Inventario,BOSCH CAVO DI PROLUNGA TIPO DCN CON CONNETTORI,1002,1002,unchanged
LBB4116/05,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Cavo di prolunga per conference system Bosch 5 metri,4009,4009,unchanged
LBB4116/10,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Cavo di prolunga per conference system Bosch 10 metri,4009,4009,unchanged
LBB4116/20,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Cavo di prolunga tipo DCN da 20 m con connettor.,4009,4009,unchanged
LBB4116/25,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,"Cavo prolunga sistema, 25m",4009,4009,unchanged
LBB4187/00-E,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,MODULO SOFTWARE DNC NEXT G. INTERFACCIA APERTA,4009,4009,unchanged
L-BOARDPRO-AV,4008,CISCO VIDEOCONFERENZA/BOARD,Inventario,Cisco Board Pro AV Integrator License-electronic delivery,4008,4008,unchanged
L-BOARD-RM,4008,CISCO VIDEOCONFERENZA/BOARD,Inventario,Remote monitoring option for Cisco Webex Board,4008,4008,unchanged
LC.ADT01.006,3004,CLOUD VARIE HW,Inventario,ALIMENTATORE PER ASPIRE 1640/1650Z,3004,3004,unchanged
LC.BTP04.001,3004,CLOUD VARIE HW,Inventario,BATT. IONI LITIO TM SERIE 2350,3004,3004,unchanged
LC00059,1003,TBD******,Inventario,COPERCHIO PER SCATOLE 3 FRUTTI ,1003,1003,unchanged
LC09B2,1002,CABLAGGIO ALTERNATIVO,Inventario,PIGTAILS 9/125 OS1 SM -LC-2M,1002,1002,unchanged
LC24RG50FQUXEN,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Monitor Samsung C24RG50FQU,4009,4009,unchanged
L-C3560CX-12-S-E,2002,APPARATI CISCO LAN,Inventario,3560-CX IP Base to IP Services Electronic RTU License,2002,2002,unchanged
L-C3560CX-RTU,2002,APPARATI CISCO LAN,Inventario,Electronic SW License for Catalyst 3560-CX Switches,2002,2002,unchanged
LCA8006/05,24001,BUILDING AUTOMATION,Inventario,COVER ACTILUME G2 SET 50 W,24001,24001,unchanged
LCALC09SYE2,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLE LCAPC-LC SIMPLEX  SINGLEMODE  MT 2,1002,1002,unchanged
LCAPCLCAPC09-10,1002,CABLAGGIO ALTERNATIVO,Inventario,Bretelle LC-APC - LC-APC 10 metri,1002,1002,unchanged
LCAPCUDGREEN,1002,CABLAGGIO ALTERNATIVO,Inventario,adattatore lc apc duplex,1002,1002,unchanged
LCASC09SYE2,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLE LCAPC-SC SIMPLEX  SINGLEMODE  MT 2,1002,1002,unchanged
L-CES-SUB,6001,CISCO SECURITY,Non in inventario,Cloud Email Security Subscription,6001,6001,unchanged
LCLC09DYE2,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX 9/125 LC/LC LSZH 2 MT obsoleto,1002,1002,unchanged
LCLC09DYE3,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA IN FIBRA LC/LC  DUPLEX 9/125 DA 3 MT,1002,1002,unchanged
LCLC50DOR05,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX 50/125 LSZH LC/LC 5 MT,1002,1002,unchanged
LCLC50DOR1,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA LC/LC duplex 50/125 1 MT,1002,1002,unchanged
LCLC50DOR10,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA LC-LC DPX 50/125 L. 10 MT,1002,1002,unchanged
LCLC50DOR2,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX 50/125 LSZH LC/LC 2 MT obsoleto,1002,1002,unchanged
LCLC62DOR5,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA FIBRA LC/LC duplex 62.5/125 5 mt,1002,1002,unchanged
LCLCOM3DAQ10,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX LC/LC OM3 DA 10 MT,1002,1002,unchanged
LCLCOM3DAQ2,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA LC - LC DUPLEX 50/125 um XG 10Gb 2 MT,1002,1002,unchanged
LCLCOM3DAQ40,1002,CABLAGGIO ALTERNATIVO,Inventario,LC/LC DUPLEX 50/125 OM3 40 METRI,1002,1002,unchanged
LCLCOM3DAQ5,1002,CABLAGGIO ALTERNATIVO,Inventario,LC/LC DUPLEX 50/125 OM3 5 MT OBSOLETO,1002,1002,unchanged
LCLCOM4DAQ2,1002,CABLAGGIO ALTERNATIVO,Inventario,"PATCH-CORD FIBRA OTTICA 50/125 OM4, 2 M  LC-LC",1002,1002,unchanged
LCLCOM4DAQ3,1002,CABLAGGIO ALTERNATIVO,Inventario,"PATCH-CORD FIBRA OTTICA 50/125 OM4, 3 M  LC-LC",1002,1002,unchanged
L-CME,4001,TELEFONIA IP,Inventario,Communication Manager Express (CME) - E-Delivery-Top Level,4001,4001,unchanged
LCP30T-000,1015,VIDEOSORVEGLIANZA,Inventario,Plugin Milestone Tattile Vega 11,1015,1015,unchanged
L-CP-E2M-78XX-CNV=,4001,TELEFONIA IP,Inventario,Convert 7800 series Enterprise phones to MPP Firmware,4001,4001,unchanged
L-CP-E2M-88XX-CNV=,4001,TELEFONIA IP,Inventario,Convert 8800 series Enterprise phones to MPP Firmware,4001,4001,unchanged
L-CP-M2E-78XX-CNV=,4001,TELEFONIA IP,Inventario,Convert 7800 series MPP phones to Enterprise Firmware,4001,4001,unchanged
L-CP-M2E-88XX-CNV=,4001,TELEFONIA IP,Inventario,Convert 8800 series MPP phones to Enterprise Firmware,4001,4001,unchanged
LCQT-TSSOP16,2015,APPARATI CISCO IOT,Inventario,AIRES ELECTRONICS SO PROTOTYO ADAPTOR,2015,2015,unchanged
LCSC09DYE2,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX 9/125 LC/SC LSZH 2 MT,1002,1002,unchanged
LCSC09DYE2CL,1002,CABLAGGIO ALTERNATIVO,Inventario,Bretella f.o. LC/SC SM mt.2,1002,1002,unchanged
LCSC50DOR02,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX 50/125 LC/SC LSZH 2 MT,1002,1002,unchanged
LCSC50DOR3,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX 50/125 LC/SC LSZH 3 MT,1002,1002,unchanged
LCSC50DOR5,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX 50/125 LC/SC LSZH 5 MT,1002,1002,unchanged
LCSC62DOR02,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX 62.5/125 LC/SC LSZH 2 MT,1002,1002,unchanged
LCSC62GIGABIT2,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA MODECOND. LC-SC 62.5/125 MT 2,1002,1002,unchanged
LCSC62GIGABIT3,1002,CABLAGGIO ALTERNATIVO,Inventario,"MODE CONDITIONING LC-SC 62,5  9/125  MT 3 LC-SC 62,5  9/125",1002,1002,unchanged
LCSCOM3DAQ2,1002,CABLAGGIO ALTERNATIVO,Inventario,LC/SC DUPLEX  50/125 OM3  2 MT OBSOLETO ,1002,1002,unchanged
LCSCOM3DAQ5,1002,CABLAGGIO ALTERNATIVO,Inventario,LC/SC DUPLEX 50/125 OM3 5 MT,1002,1002,unchanged
LCSCOM4DAQ10,1002,CABLAGGIO ALTERNATIVO,Inventario,Bretella f.o. LC/SC 50/125 OM4 mt.10,1002,1002,unchanged
LCSCOM4DAQ2,1002,CABLAGGIO ALTERNATIVO,Inventario,LC/SC  duplex  50/125 OM4 2 mt,1002,1002,unchanged
L-CSR-100M-AX-3Y,2003,APPARATI CISCO WAN,Inventario,CSR 1000V e-PAK 3-year 100Mbps AX Package,2003,2003,unchanged
L-CSR-100M-AX-3Y=,2003,APPARATI CISCO WAN,Inventario,CSR 1000V e-PAK 3-year 100Mbps AX Package,2003,2003,unchanged
L-CSR-100M-SEC-3S=,6001,CISCO SECURITY,Inventario,Smart Licensing SKU for 100Mbps SEC three-year,6001,6001,unchanged
L-CSR-10G-IPB-1Y=,6001,CISCO SECURITY,Inventario,"CSR 1000V e-PAK 1-year 10Gbps IP Base Package, not for AWS",6001,6001,unchanged
L-CSR-10M-AX-3S=,2001,APPARATI CISCO WIRELESS,Inventario,Smart Licensing SKU for 10Mbps AX  3-year,2001,2001,unchanged
L-CSR-10M-SEC-3S=,6001,CISCO SECURITY,Inventario,Smart Licensing SKU for 10Mbps SEC  Three-year,6001,6001,unchanged
L-CSR-250M-APP-3Y=,6001,CISCO SECURITY,Inventario,CSR 1000V e-PAK 3-year 250Mbps AppX Package,6001,6001,unchanged
L-CSR-50M-APP-3Y,6001,CISCO SECURITY,Inventario,CSR 1000V e-PAK 3-year 50Mbps AppX Package,6001,6001,unchanged
L-CSR-50M-AX-1S=,4004,TELEFONIA SOFTWARE,Inventario,Smart Licensing SKU for 50Mbps AX  one-year  term license,4004,4004,unchanged
L-CSR-50M-AX-3S=,6001,CISCO SECURITY,Inventario,Smart Licensing SKU for 50Mbps AX  three-year,6001,6001,unchanged
L-CSR-5G-APP-1Y=,6001,CISCO SECURITY,Non in inventario,"CSR 1000V e-PAK 1-year 5Gbps AppX Package, not for AWS",6001,6001,unchanged
LCST09DYE2,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA LC/ST duplex 9/125 2 MT,1002,1002,unchanged
LCST09DYE2CL,1002,CABLAGGIO ALTERNATIVO,Inventario,Bretella f.o. LC/ST SM MT2,1002,1002,unchanged
LCST50DOR02,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA 50/125 LC-ST 2 MT OBSOLETO,1002,1002,unchanged
LCST50DOR2,1002,CABLAGGIO ALTERNATIVO,Inventario,LC/ST duplex 50/125 2 mt,1002,1002,unchanged
LCST50DOR3,1002,CABLAGGIO ALTERNATIVO,Inventario,LC/ST DUPLEX 50/125 3 MT,1002,1002,unchanged
LCST62DOR02,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA OTTICA DUPLEX 62.5/125 LC/ST LSZH 2 MT OBSOLETO,1002,1002,unchanged
LCST62DOR15,1002,CABLAGGIO ALTERNATIVO,Inventario,LC/ST duplex 62.5/125 15 mt,1002,1002,unchanged
LCST62DOR2,1002,CABLAGGIO ALTERNATIVO,Inventario,LC/ST DUPLEX 62.5/125 2 MT,1002,1002,unchanged
LCST62GIGABIT2,1002,CABLAGGIO ALTERNATIVO,Inventario,BRETELLA MODECOND. LC-ST 62.5/125 MT 2,1002,1002,unchanged
LCSTOM3DAQ1,1002,CABLAGGIO ALTERNATIVO,Inventario,Bretella f.o. LC/ST 50/125 OM3 mt.1,1002,1002,unchanged
LCSTOM4DAQ2,1002,CABLAGGIO ALTERNATIVO,Inventario,Bretella f.o. LC/ST 50/125 OM4 mt.2,1002,1002,unchanged
LCT408-201,2013,VIDEOSORVEGLIANZA,Inventario,Stark-up 1 year,2013,2013,unchanged
LCT408-301,2014,CONTROLLO ACCESSI,Non in inventario,supporto 2 Year STARK - UP,2014,2014,unchanged
LCT408-302,1015,VIDEOSORVEGLIANZA,Inventario,Vega XX 2 Years STARK - UP license Extension,1015,1015,unchanged
L-CUAC12X,4004,TELEFONIA SOFTWARE,Inventario,Cisco Unified Attendant Consoles 12.x,4004,4004,unchanged
L-CUAC12X-ADV,4008,CISCO VIDEOCONFERENZA/BOARD,Inventario,Cisco Unified Attendant Console Advanced 12.x - 1 Lic,4008,4008,unchanged
L-CUBE,4004,TELEFONIA SOFTWARE,Inventario,Cisco Unified Border Element (CUBE) - E-delivery - top level,4004,4004,unchanged
L-DESK-SERIES-RM,4008,CISCO VIDEOCONFERENZA/BOARD,Inventario,Remote monitoring option for Desk series Endpoints,4008,4008,unchanged
L-DNA-C8000V,2003,APPARATI CISCO WAN,Non in inventario,Cisco DNA Subscription for Catalyst 8000V,2003,2003,unchanged
L-DNA-C8200,2003,APPARATI CISCO WAN,Non in inventario,Cisco DNA Subscription for Catalyst 8200 Series,2003,2003,unchanged
L-DNA-C8300,2003,APPARATI CISCO WAN,Inventario,Cisco DNA Subscription for Catalyst 8300 Series,2003,2003,unchanged
LDT4300/1,1002,CABLAGGIO ALTERNATIVO,Inventario,PALO/PORT 76-114 MET IP54 F.38X132,1002,1002,unchanged
LDT4460,1002,CABLAGGIO ALTERNATIVO,Inventario,"PALO ILL ZIN CON 105/60/3 4,5MT",1002,1002,unchanged
LDT5535+5531,1002,CABLAGGIO ALTERNATIVO,Inventario,POZZETTO+COPERCHIO 30X30 C/FONDO,1002,1002,unchanged
LDT5605/16,1002,CABLAGGIO ALTERNATIVO,Inventario,COLLARE FISSATUBO RIALZATO 14-18MM ZINCATO,1002,1002,unchanged
LDTTAPPP60,1002,CABLAGGIO ALTERNATIVO,Inventario,TAPPO IN PLASTICA D60 NE,1002,1002,unchanged
LDVQTPOPT2X5458,1002,CABLAGGIO ALTERNATIVO,Inventario,qtp-optimal 2x54-58/220-240 unv1 osram,1002,1002,unchanged
L-DX-SERIES-RM,2001,APPARATI CISCO WIRELESS,Inventario,Remote monitoring option for DX series Endpoints,2001,2001,unchanged
LE031900,1002,CABLAGGIO ALTERNATIVO,Inventario,COLLARE GRIGIO TUBI DA 15-30MM,1002,1002,unchanged
LE31AJC300Z,1003,TBD******,Inventario,P31 - CURVA PIANA 45 300X75 Z,1003,1003,unchanged
LE31AMC100Z,1003,TBD******,Inventario,P31-curva in salita 90 per canale met. 100x75,1003,1003,unchanged
LE31C3C100Z,1003,TBD******,Inventario,Canale matallico P31-base chiusa liscia L 3mt 100x75,1003,1003,unchanged
LE31L39100Z,1003,TBD******,Inventario,Canale metallico P31-coperchio liscio l 3mt 100Z,1003,1003,unchanged
LE31X9CG71G,1003,TBD******,Inventario,P31-GIUNTO PIANO H75/H100 ACC. GP,1003,1003,unchanged
LE31X9CG71Z,1003,TBD******,Inventario,P31-GIUNTO PIANO H75 Z,1003,1003,unchanged
LE31X9CL72Z,1003,TBD******,Inventario,P31-flangia attacco a quadro per canale met. 100x75,1003,1003,unchanged
LE348023,1003,TBD******,Inventario,F31-PASSERELLA A FILO 3M 150X75 EZ,1003,1003,unchanged
LE348421,1003,TBD******,Inventario,F31-KIT GIUNTO 23-30 EZ,1003,1003,unchanged
LE349015,1003,TBD******,Inventario,S.SUPPORTO-MENSOLA G4 L 300 Z,1003,1003,unchanged
LE349021,1003,TBD******,Inventario,S.SUPPORTO -PROFILATO S.FO 41X41 S 2,1003,1003,unchanged
LE349028,1003,TBD******,Inventario,S.SUPPORTO PIASTRA SOFFITTO INTEGRA,1003,1003,unchanged
LE349076,1003,TBD******,Inventario,S. SUPPORTO STAFFA FISSAGGIO 90,1003,1003,unchanged
LE404926,1002,CABLAGGIO ALTERNATIVO,Inventario,BUSBAR DI CABLAGGIO 1P 13 MODULES,1002,1002,unchanged
LEB0138W,1002,CABLAGGIO ALTERNATIVO,Inventario,CONNETTORE PLUG 6/6,1002,1002,unchanged
LEB014019,1002,CABLAGGIO ALTERNATIVO,Inventario,KIT 50PLUG RJ45 UTP 5E + 10 COPRIPLUG,1002,1002,unchanged
LED NEON FLEX STRIP,2014,CONTROLLO ACCESSI,Inventario,Sure Energy Ener-J Kit LED Neon Flex Strip Light 9W/m IP65 - Bobina da 3 metri - mod. T450 fredda,2014,2014,unchanged
LED_RGB_30_065,24001,BUILDING AUTOMATION,Inventario,Strisce LED da 65 cm densità 30led/mt IP65,24001,24001,unchanged
LED_RGB_30_070,24001,BUILDING AUTOMATION,Inventario,STRIP LED RGB 70 CM,24001,24001,unchanged
LED_RGB_30_150,24001,BUILDING AUTOMATION,Inventario,strisce LED RGB lunghe 150 cm con densità 30LED/mt IP65,24001,24001,unchanged
LED_RGB_30_200,24001,BUILDING AUTOMATION,Inventario,STRIP LED RGB 200 CM,24001,24001,unchanged
LEEX7700GU,1002,CABLAGGIO ALTERNATIVO,Inventario,PRESA RJ45 CATEGORIA 6 UTP,1002,1002,unchanged
LEEX9900N,1002,CABLAGGIO ALTERNATIVO,Inventario,SUPP. RJ45 MPLUS NO VEL. NERO,1002,1002,unchanged
LEEX9905,1002,CABLAGGIO ALTERNATIVO,Inventario,ACCESSORIO MPLUS AMMARR. 6 CAVI,1002,1002,unchanged
LEEX9907,1002,CABLAGGIO ALTERNATIVO,Inventario,PORTAETICHETTE MPLUS 6 MODULI,1002,1002,unchanged
LEEX9910U,1002,CABLAGGIO ALTERNATIVO,Inventario,PATCH PANEL MPLUS 24 MODULI UTP,1002,1002,unchanged
LEEXF090223,1002,CABLAGGIO ALTERNATIVO,Inventario,CERNIERE PER I VASSOI OTTICI 20 PZ,1002,1002,unchanged
LEEXF090301,1002,CABLAGGIO ALTERNATIVO,Inventario,PETTINE PER FISSARE LE PROTEZIONI,1002,1002,unchanged
LEEXF090401,1002,CABLAGGIO ALTERNATIVO,Inventario,PROTEZIONI TERMORESTRINGENTI 45MM,1002,1002,unchanged
LEEXSBTLL,1002,CABLAGGIO ALTERNATIVO,Inventario,ADATTATORE LIVING LIGHT,1002,1002,unchanged
LEFPS10/ONE,1002,CABLAGGIO ALTERNATIVO,Inventario,PRESA SCHUKO SMART 10A 110-240VAC,1002,1002,unchanged
LEG 349015,1006,ARMADI,Inventario,LEG 349015  CAN/MET   Mensola 300,1006,1006,unchanged
LEG031900,1002,CABLAGGIO ALTERNATIVO,Inventario,COLLARE GR X TUBO D.15-30m VITE6mm,1002,1002,unchanged
LEG037162,1003,TBD******,Inventario,VIKING3-MORSETTO STANDARD 6mmq,1003,1003,unchanged
LEG037164,1003,TBD******,Inventario,VIKING3-MORSETTO STANDARD 6mmq,1003,1003,unchanged
LEG039598,1002,CABLAGGIO ALTERNATIVO,Inventario,STYLO FEUTRE INDELEBILE,1002,1002,unchanged
LEG03M60040Z,1002,CABLAGGIO ALTERNATIVO,Inventario,MENSOLA ZN MM 600,1002,1002,unchanged
LEG03V1M610Z,1002,CABLAGGIO ALTERNATIVO,Inventario,SIST. SUPPORTO BULLONE+DADO M6X12 Z,1002,1002,unchanged
LEG31AIC300Z,1003,TBD******,Inventario,31CURVA P90 300X75 Z,1003,1003,unchanged
LEG31AMC300Z,1003,TBD******,Inventario,31CURVA S90 300X75 Z,1003,1003,unchanged
LEG31APC300Z,1003,TBD******,Inventario,31CURVA D90 300X75 Z,1003,1003,unchanged
LEG31AXC300Z,1003,TBD******,Inventario,31DER T D VP 300X75 Z,1003,1003,unchanged
LEG31C3C200Z,1002,CABLAGGIO ALTERNATIVO,Inventario,CANALE MET 200X 75 MT3  ZIN-SEND,1002,1002,unchanged
LEG31C3C300G,1003,TBD******,Inventario,P31-BASE CHIUSA LISCIA L 3M 30,1003,1003,unchanged
LEG31K3C500Z,1002,CABLAGGIO ALTERNATIVO,Inventario,31RET CH.I 3M 500X75 Z,1002,1002,unchanged
LEG31L29075Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-COPERCHIO LISCIO L=2M L=75 Z,1002,1002,unchanged
LEG31L29100Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-COPERCHIO LISCIO L=2M L=100Z,1002,1002,unchanged
LEG31L39200Z,1002,CABLAGGIO ALTERNATIVO,Inventario,CAN MET/COP 200 MT3 ZIN-SEND,1002,1002,unchanged
LEG31L39300G,1003,TBD******,Inventario,P31-COPERCHIO LISCIO L 3M L 30,1003,1003,unchanged
LEG31X9CL72Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-FLANGIA ATTACCO A QUADRO 100X75 Z,1002,1002,unchanged
LEG343240,1003,TBD******,Inventario,Profili metallico forato 41x21x2.5mm verga 3mt,1003,1003,unchanged
LEG343730,1002,CABLAGGIO ALTERNATIVO,Inventario,"S. SUPPORTO PROFILATO S.FF 41X41 S=2,5 3M",1002,1002,unchanged
LEG346477,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-COPERCHIO LISCIO L=3mt L=500mm,1002,1002,unchanged
LEG348025,1002,CABLAGGIO ALTERNATIVO,Inventario,PASSERELLA MET. FILO 300X75 3MT ELETTROZINC.,1002,1002,unchanged
LEG349012,1003,TBD******,Inventario,MENSOLA G4 100 Z,1003,1003,unchanged
LEG349015,1003,TBD******,Inventario,MENSOLA G4 300 Z,1003,1003,unchanged
LEG349028,1003,TBD******,Inventario,PIASTRA SOFF INTEGRALE Z,1003,1003,unchanged
LEG349033,1002,CABLAGGIO ALTERNATIVO,Inventario,MENSOLA G3 300Z,1002,1002,unchanged
LEG386626,1002,CABLAGGIO ALTERNATIVO,Inventario,GHIERA METAL PG21,1002,1002,unchanged
LEG386628,1002,CABLAGGIO ALTERNATIVO,Inventario,GHIERE METAL PG36,1002,1002,unchanged
LEG386634,1002,CABLAGGIO ALTERNATIVO,Inventario,GHIERE-METAL NICHELATE M32,1002,1002,unchanged
LEG386635,1002,CABLAGGIO ALTERNATIVO,Inventario,GHIERE-METAL NICHELATE M40,1002,1002,unchanged
LEG386636,1002,CABLAGGIO ALTERNATIVO,Inventario,GHIERE METAL M50,1002,1002,unchanged
LEG387107,1003,TBD******,Inventario,"Fascetta bianca 280x3,5",1003,1003,unchanged
LEG387112,1003,TBD******,Inventario,"Fascetta bianca 280X4,5",1003,1003,unchanged
LEG387122,1003,TBD******,Inventario,ATEX CT CASSETTA DERIV.155X130X65mm,1003,1003,unchanged
LEG387125,1003,TBD******,Inventario,ATEX CT CASSETTA DERIV.290X250X120mm,1003,1003,unchanged
LEG387207,1002,CABLAGGIO ALTERNATIVO,Inventario,FASCETTA NERA 280X3.5,1002,1002,unchanged
LEG387212,1002,CABLAGGIO ALTERNATIVO,Inventario,FASCETTA NERA280X4.5,1002,1002,unchanged
LEG387213,1002,CABLAGGIO ALTERNATIVO,Inventario,FASCETTA NERA 360X4.5,1002,1002,unchanged
LEG387496,1002,CABLAGGIO ALTERNATIVO,Inventario,"GUIDACAVO METAL/PLAST D=39,5 GR",1002,1002,unchanged
LEG555324,1002,CABLAGGIO ALTERNATIVO,Inventario,CEE SP SP VOL IP67 2 +T 16A 220V,1002,1002,unchanged
LEG555329,1003,TBD******,Inventario,SPINA INDUSTRIALE 3 + N + T 16A,1003,1003,unchanged
LEG555414,1003,TBD******,Inventario,CEE PR VOL IP67 2+T 32A 220V,1003,1003,unchanged
LEG555434,1003,TBD******,Inventario,CEE SP VOL. IP67 2+T 32A 220V,1003,1003,unchanged
LEG642384,1003,TBD******,Inventario,TRASF. 230/400V USC.115/230V 160VA,1003,1003,unchanged
LEG666138,1002,CABLAGGIO ALTERNATIVO,Inventario,GUAINA ARMATA CON PVC HF ,1002,1002,unchanged
LEG82030,1002,CABLAGGIO ALTERNATIVO,Inventario,RACC MET DIR GU-SC D.21 PG21 IP67,1002,1002,unchanged
LEG82032,1002,CABLAGGIO ALTERNATIVO,Inventario,RACCORDO METALLO PG 36 D=36,1002,1002,unchanged
LEG82047,1002,CABLAGGIO ALTERNATIVO,Inventario,METAL-RACCORDO MET. M40D=35,1002,1002,unchanged
LEG82048,1002,CABLAGGIO ALTERNATIVO,Inventario,METAL-RACCORDO MET M50D=40,1002,1002,unchanged
LEG82572,1002,CABLAGGIO ALTERNATIVO,Inventario,TUBO MET/RACC 20 TU-GU,1002,1002,unchanged
LEG86392,1002,CABLAGGIO ALTERNATIVO,Inventario,ACC.TAZ/TAIX CURVA 90 TAZD=20mm,1002,1002,unchanged
LEG86393,1002,CABLAGGIO ALTERNATIVO,Inventario,ACC.TAZ/TAIX CURVA 90 TAZD=25mm,1002,1002,unchanged
LEG86395,1002,CABLAGGIO ALTERNATIVO,Inventario,ACC. TAZ/TAIX-CURVA 90 TAZ=40mm,1002,1002,unchanged
LEGAI075Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA PIANA  90D 75X75 Z,1002,1002,unchanged
LEGAI100Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA PIANA 90D 100X75 Z,1002,1002,unchanged
LEGAI200Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA PIANA 90D 200X75 Z,1002,1002,unchanged
LEGAM075Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA IN SALITA 90D 75X75 Z,1002,1002,unchanged
LEGAM100Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA INSALITA 90D 100X75 Z,1002,1002,unchanged
LEGAM200Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA IN SALITA 90D 200X75 Z,1002,1002,unchanged
LEGAP075Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31- CURVA IN DISCESA 90D 75X75 Z,1002,1002,unchanged
LEGAP100Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA IN DISCESA 90D 100X75 Z,1002,1002,unchanged
LEGAP200Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA IN DISCESA 90D 200X75 Z,1002,1002,unchanged
LEGAT12,1002,CABLAGGIO ALTERNATIVO,Inventario,TUBO PVC/ANELLO ADATT D 12 OTT,1002,1002,unchanged
LEGAT21,1002,CABLAGGIO ALTERNATIVO,Inventario,TUBO PVC/ANELLO ADATTA D 21 OTT,1002,1002,unchanged
LEGAY075Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA SX VAR. PIANO DISCESA 75X75 Z,1002,1002,unchanged
LEGAZ075Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-CURVA DESTRA VAR. PIANO DISCESA 75X75 Z,1002,1002,unchanged
LEGC2075Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-BASE CHIUSA M/F =2M 75X75 Z,1002,1002,unchanged
LEGC2100Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-BASE CHIUSA M/F=M2 100X75 Z,1002,1002,unchanged
LEGC3200Z,1002,CABLAGGIO ALTERNATIVO,Inventario,P31-BASE CHIUSA M/F L=3M 200X75 Z,1002,1002,unchanged
LEGCLK20,1002,CABLAGGIO ALTERNATIVO,Inventario,COLLARE MET X TUBO 20 CLIKO C/BASE ASOL,1002,1002,unchanged
LEGCLK25,1002,CABLAGGIO ALTERNATIVO,Inventario,COLLARE MET X TUBO 25 CLIKO C/BASE ASOL,1002,1002,unchanged
LEGTAZ-20/4,1002,CABLAGGIO ALTERNATIVO,Inventario,TUBO MET 20 ZINCATO (AL MT) L.4MT TAZ,1002,1002,unchanged
