Codice Articolo,Lob Associata,Nome LOB,Inventario,Descrizione Articolo,Lob Associata Orig Norm,Lob Associata Cleaned,LOB Cleaning Decision
01483-002,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS - Q6054-E Mk III 50HZ, HDTV 720p",2013,2013,unchanged
01491-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS SURVEILLANCE CARD 128 GB,2013,2013,unchanged
01500-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3719-PLE Network Camera is a compact 15-megapixel camera with four varifocal lenses,2013,2013,unchanged
01504-001,2013,VIDEOSORVEGLIANZA,Inventario,,2013,2013,unchanged
01504-001.,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3717-PLE - Compact 8-megapixel camera with four varifo,2013,2013,unchanged
01505-001,2013,VIDEOSORVEGLIANZA,Inventario,"Outdoor pendant kit for AXIS P38-PVE and Q36-VE series. Weathershield made from impact-, UV-, and he",2013,2013,unchanged
01506-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P1445-LE,2013,2013,unchanged
0151254-04,1002,CABLAGGIO ALTERNATIVO,Inventario,Cavo ottico 4 fibre Loose 50/125um OM4 antirodent LSZH int/ext,1002,1002,unchanged
0151254-12,1002,CABLAGGIO ALTERNATIVO,Inventario,Cavo ottico 12 fibr Loos 50/125um OM4 antirodent LSZH INT/EX,1002,1002,unchanged
0151254-24,1,IMPIANTI,Inventario,Cavo ottico 24 fibre Loose 50/125um OM4 antirodent LSZH int/ext,1,01,fix_by_name_prefix2
01513-001,1015,VIDEOSORVEGLIANZA,Inventario,AXIS T94N01D Pendant Kit comprises a weathershield and a mou,1015,1015,unchanged
01532-001,2013,VIDEOSORVEGLIANZA,Inventario,"HDTV 1080p resolution, day/night, fixed box camera providing Forensic WDR and Lightfinder 2.0 techno",2013,2013,unchanged
01533-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P1375-E,2013,2013,unchanged
0-1536975-1,1001,CABLAGGI COMMSCOPE,Inventario,PIGTAIL  LC MULTIMODALE 50/125 UM 1MT,1001,1001,unchanged
01564-001,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS D2110-VE Security Radar, 24.05–24.25 GHz, FMCW, for wall mounting outdoor. Reliable 180 degrees",2013,2013,unchanged
01573-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P1445-LE-3 License Plate Verifier Kit,2013,2013,unchanged
01574-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS LICENSE PLATE VERIFIER 1P E-LICENSE Single unit e-license for AXIS License Plate Verifier.,2013,2013,unchanged
01584-00,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q3517-SLVE CLEAR DOME 2P,2013,2013,unchanged
01592-001,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS P3245-LV Fixed dome with support for Forensic WDR, Lightfinder 2.0 and OptimizedIR illumination",2013,2013,unchanged
01593-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3245-LVE,2013,2013,unchanged
0-1593107-6,1002,CABLAGGIO ALTERNATIVO,Inventario,CAVO TYCO LOOSE 12  FIBRE 9/125um LSZH,1002,1002,unchanged
01595-001,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS P3247-LV is a day/night fixed dome with discreet, dust- and IK10 vandal-resistant indoor casing",2013,2013,unchanged
01604-001,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS M3115-LVE is a compact mini dome in a flat-faced, outdoor-ready, IK08 impact-resistant design w",2013,2013,unchanged
01605-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS M3116-LVE,2013,2013,unchanged
01679-001,2013,VIDEOSORVEGLIANZA,Inventario,"Four channel video encoder supporting PAL/NTSC cameras. Multiple, individually configurable H.264, H",2013,2013,unchanged
01680-001,2013,VIDEOSORVEGLIANZA,Inventario,Axis P7304 Video Encoder,2013,2013,unchanged
01681-001,2013,VIDEOSORVEGLIANZA,Inventario,"PTZ camera with continues 360° pan for both indoor and outdoor with 32x optical zoom, Lightfinder 2,",2013,2013,unchanged
01681-001.,2013,VIDEOSORVEGLIANZA,Inventario,"PTZ camera with continues 360° pan for both indoor and outdoor with 32x optical zoom, Lightfinder 2,",2013,2013,unchanged
01706-001,2013,VIDEOSORVEGLIANZA,Inventario,"1.5"" NPT Male-to-Male coupler used to connect any AXIS Pendant Kit",2013,2013,unchanged
01707-001,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS M3065-V IS AN ULTRA-COMPACT, INDOOR FIXED NR 0 6 269,0000 27 196,3700 1.178,22 22 8/06/21MINI D",2013,2013,unchanged
0-1711351-1,1001,CABLAGGI COMMSCOPE,Inventario,"Bretella di permutazione RJ45/RJ45  UTP Bianco, Cat 6 MT1,5",1001,1001,unchanged
0-1711351-2,1001,CABLAGGI COMMSCOPE,Inventario,"Bretella di permutazione RJ45/RJ45  UTP Bianco, Cat 6 MT2,5",1001,1001,unchanged
01725-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS PERIMETER DEFENDER PTZ 1P ELIC,2013,2013,unchanged
01751-002,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q6075-E 50HZ,2013,2013,unchanged
01757-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS TP3201 RECESSED MOUNT,2013,2013,unchanged
0176-002,2013,VIDEOSORVEGLIANZA,Inventario,VIDEO SERVER 2401,2013,2013,unchanged
0-1777029-1,1001,CABLAGGI COMMSCOPE,Inventario,"MRJ 21, 24 Port Straight Patch Panel 10/100/1000BASE-T",1001,1001,unchanged
01798-001,3004,CLOUD VARIE HW,Inventario,AXIS TP3901 MICROPHONE KIT,3004,3004,unchanged
01808-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P1377,2013,2013,unchanged
01809-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P1377-LE,2013,2013,unchanged
01819-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q3819-PVE delivers a 180º panoramic overview of extensive areas. With 14 MP resolution and seam,2013,2013,unchanged
01819-002,2013,VIDEOSORVEGLIANZA,Inventario,Q3819-PVE,2013,2013,unchanged
01856-001,2013,VIDEOSORVEGLIANZA,Inventario,Recessed mount for selected AXIS M30 cameras. Includes covers for fixed mini dome and panoramic came,2013,2013,unchanged
0191252-12,1002,CABLAGGIO ALTERNATIVO,Inventario,Cavo ottico 12 fibre Loose 9/125um OS2 antirodent LSZH int/ext,1002,1002,unchanged
01919-001,2013,VIDEOSORVEGLIANZA,Inventario,Full HDTV 1080p fixed dome onboard camera for rolling stock and vehicles with male RJ-45 network con,2013,2013,unchanged
01920-001,1015,VIDEOSORVEGLIANZA,Inventario,AXIS P3925-R - Full HDTV 1080p,1015,1015,unchanged
01924-002,2013,VIDEOSORVEGLIANZA,Inventario,Q6315-LE 50 HZ HIGH-END PTZ CAMERA WITH HDTV 1080P,2013,2013,unchanged
01942-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS D4100-E NETWORK STROBE SIREN,2013,2013,unchanged
01947,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,BASE MICR. IN GHISA TELESCOPICA RAL9005,4009,4009,unchanged
01950,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,ASTA MICR. C/GIRAFFA TREPP. SU BASE NYLON RAL9005,4009,4009,unchanged
01951,3004,CLOUD VARIE HW,Inventario,Euromet supporto microfono fisso,3004,3004,unchanged
01958-002,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS - Q6135-LE 50HZ, PTZ camera with continues 360gr pan and build in IR illumination (200M) ",2013,2013,unchanged
01990-001,2013,VIDEOSORVEGLIANZA,Inventario,F9111 MAIN UNIT,2013,2013,unchanged
01991-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS F9114 MAIN UNIT,2013,2013,unchanged
01997-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS p1455-LE,2013,2013,unchanged
01AX217,3004,CLOUD VARIE HW,Inventario,Lenovo Keyboard Skywalker IT,3004,3004,unchanged
02021-001,2013,VIDEOSORVEGLIANZA,Inventario,SURVEILLANCE CARD 256GB,2013,2013,unchanged
02026-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS A8207-VE Network Video Door Station combines a fully featured 6MP security camera,2013,2013,unchanged
02036-002,2013,VIDEOSORVEGLIANZA,Inventario,Sixteen-channel video encoder support PAL/NTSC cameras.,2013,2013,unchanged
02037-002,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P7316 Video Encoder,2013,2013,unchanged
