Descrizione Articolo,Lob Associata,Codice Articolo,Nome LOB,Inventario
Next Generation Firewall Package for additional 1 year for 3800 Base Appliance,6011,CPSB-NGFW-3800-1Y.,RINNOVO CHECKPOINT SECURITY,Non in inventario
Next Generation Threat Prevention and Sandblast for additional 1 year for 3600 Base Appliance,6002,CPSB-SNBT-3600-1Y,CHECKPOINT SECURITY,Inventario
Next Generation Threat Prevention and Sandblast for additional 1 year for 3600 Base Appliance,6011,CPSB-SNBT-3600-1Y.,RINNOVO CHECKPOINT SECURITY,Non in inventario
Next Generation Threat Prevention and Sandblast for additional 1 year for 6200PLUS Appliance,6002,CPSB-SNBT-6200-PLUS1,CHECKPOINT SECURITY,Inventario
Next Generation Threat Prevention and Sandblast for additional 1 year for 6200PLUS Appliance,6011,CPSB-SNBT-6200,RINNOVO CHECKPOINT SECURITY,Non in inventario
Next Generation Threat Prevention for additional 2 years for 7000 PLUS Appliance,6002,CPSB-NGTP-7000-PLUS-,CHECKPOINT SECURITY,Inventario
Next Generation Threat Prevention for additional 2 years for 7000 PLUS Appliance,6011,CPSB-NGTP-7000-PLUS,RINNOVO CHECKPOINT SECURITY,Non in inventario
"OPT OUT, TPM 2.0, TCG, FIPS140-2, CC EAL4+ Certified",3009,UCSX-TPM-OPT-OUT-D,SERVER CISCO,Inventario
"OPT OUT, TPM 2.0, TCG, FIPS140-2, CC EAL4+ Certified",3030,UCSX-TPM-OPT-OUT,STORAGE IPERCONVERGENZA CISCO,Inventario
Office 365 E3,3002,SK4699,SOFTWARE MICROSOFT,Non in inventario
Office 365 E3,3015,CFQ7TTC0LF8R:0001,RINNOVO SOFTWARE MICROSOFT,Non in inventario
POWER BI PRO,3002,SK16369,SOFTWARE MICROSOFT,Non in inventario
POWER BI PRO,3015,SK5447,RINNOVO SOFTWARE MICROSOFT,Non in inventario
PR.MOB.IP44 3PNT 32A 380V CR,1003,MGPKY32M435,TBD******,Inventario
PR.MOB.IP44 3PNT 32A 380V CR,17001,PKY32M435,SISTEMI SCHNEIDER,Inventario
PRODUCT 3RD PARTY HARDWARE OTHER END PANEL 42U 1200MM AISLE DEPTH,17001,QCONTAINMENT-QPBE657,SISTEMI SCHNEIDER,Inventario
PRODUCT 3RD PARTY HARDWARE OTHER END PANEL 42U 1200MM AISLE DEPTH,17005,QCONT-QPBE65758-03,ALTRO DATA CENTER,Inventario
PRODUCT 3RD PARTY HARDWARE OTHER END PANEL 42U 1200MM AISLE DEPTH,17005,QCONT-QPBE6578-02,ALTRO DATA CENTER,Inventario
PWRSPLY AC/DC for IR829,2003,R829-PWR125W-AC,APPARATI CISCO WAN,Inventario
PWRSPLY AC/DC for IR829,2015,IR829-PWR125W-AC,APPARATI CISCO IOT,Inventario
PanOptikon Dark Web Scanner Module – 12M – Medium Company (Max 20 keywords),20001,PAN-DWSM-12M-M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Dark Web Scanner Module – 12M – Medium Company (Max 20 keywords),20006,PAN-DWSM-12M-M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 100-149 Agents,20001,PAN-ETDM-12M-S2-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 100-149 Agents,20006,PAN-ETDM-12M-S2,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 250-349 Agents,20001,PAN-ETDM-12M-S4-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 250-349 Agents,20006,PAN-ETDM-12M-S4,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 350-499 Agents,20001,PAN-ETDM-12M-S5-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 350-499 Agents,20006,PAN-ETDM-12M-S5,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 50-99 Agents,20001,PAN-ETDM-12M-S1-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 50-99 Agents,20006,PAN-ETDM-12M-S1,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 750-999 Agents,20001,PAN-ETDM-12M-S7-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 12M - 750-999 Agents,20006,PAN-ETDM-12M-S7,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 100-149 Agents,20001,PAN-ETDM-36M-S2-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 100-149 Agents,20006,PAN-ETDM-36M-S2,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 150-249 Agents,20001,PAN-ETDM-36M-S3-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 150-249 Agents,20006,PAN-ETDM-36M-S3,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 250-349 Agents,20001,PAN-ETDM-36M-S4-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 250-349 Agents,20006,PAN-ETDM-36M-S4,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 50-99 Agents,20001,PAN-ETDM-36M-S1-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 50-99 Agents,20006,PAN-ETDM-36M-S1,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 500-749 Agents,20001,PAN-ETDM-36M-S6-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Endpoint Threat Detection Module – 36M - 500-749 Agents,20006,PAN-ETDM-36M-S6,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 12M - 1000-1499 IP,20001,PAN-NTDM-12M-S8-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 12M - 1000-1499 IP,20006,PAN-NTDM-12M-S8,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 12M - 250-349 IP,20001,PAN-NTDM-12M-S4-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 12M - 250-349 IP,20006,PAN-NTDM-12M-S4,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 12M - 500-749 IP,20001,PAN-NTDM-12M-S6-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 12M - 500-749 IP,20006,PAN-NTDM-12M-S6,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 12M - 5000-9999 IP,20001,PAN-NTDM-12M-SD-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 12M - 5000-9999 IP,20006,PAN-NTDM-12M-SD,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 36M - 1000-1499 IP,20001,PAN-NTDM-36M-S8-M,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 36M - 1000-1499 IP,20001,PAN-NTDM-36M-S8-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Network Threat Detection Module - 36M - 1000-1499 IP,20006,PAN-NTDM-36M-S8,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 12M - 3500-4999 Assets,20001,PAN-SOAR-12M-PC-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 12M - 3500-4999 Assets,20006,PAN-SOAR-12M-PC,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 12M - 5000-9999 Assets,20001,PAN-SOAR-12M-PD-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 12M - 5000-9999 Assets,20006,PAN-SOAR-12M-PD,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 3500-4999 Assets,20001,PAN-SOAR-COTR-PC-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 3500-4999 Assets,20006,PAN-SOAR-36M-PC,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 5000-9999 Assets,20001,PAN-SOAR-36M-PD-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 5000-9999 Assets,20006,PAN-SOAR-COTR-PD,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 9999+ Assets,20001,PAN-SOAR-36M-PE-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 9999+ Assets,20001,PAN-SOAR-COTR-PE-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Premium Service - 9999+ Assets,20007,PAN-CUS-AWS-R,CERTEGO SERVIZI CUSTOM,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 100-149 Assets,20001,PAN-SOAR-12M-S2-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 100-149 Assets,20006,PAN-SOAR-12M-S2,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 1000-1499 Assets,20001,PAN-SOAR-12M-S8-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 1000-1499 Assets,20006,PAN-SOAR-12M-S8,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 150-249 Assets,20001,PAN-SOAR-12M-S3-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 150-249 Assets,20006,PAN-SOAR-12M-S3,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 1500-1999 Assets,20001,PAN-SOAR-12M-S9-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 1500-1999 Assets,20006,PAN-SOAR-12M-S9,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 250-349 Assets,20001,PAN-SOAR-12M-P4-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 250-349 Assets,20001,PAN-SOAR-12M-S4-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 250-349 Assets,20006,PAN-SOAR-12M-S4,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 2500-3499 Assets,20001,PAN-SOAR-12M-SB-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 2500-3499 Assets,20006,PAN-SOAR-12M-SB,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 50-99 Assets,20001,PAN-SOAR-12M-S1-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 50-99 Assets,20006,PAN-SOAR-12M-S1,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 500-749 Assets,20001,PAN-SOAR-12M-S6-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 12M - 500-749 Assets,20006,PAN-SOAR-12M-S6,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 350-499 Assets,20001,PAN-SOAR-COTR-S5-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 350-499 Assets,20006,PAN-SOAR-36M-S5,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 36M - 250-349 Assets,20001,PAN-SOAR-36M-S4-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SOAR Platform - Standard Service - 36M - 250-349 Assets,20006,PAN-SOAR-36M-S4,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SaaS Threat Detection Module – 12M - 350-499 Users,20001,PAN-SADM-12M-S5-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon SaaS Threat Detection Module – 12M - 350-499 Users,20006,PAN-SADM-12M-S5,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NS100 – 12M,20001,PAN-NS100-12M-R.,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NS100 – 12M,20006,PAN-NS100-12M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NS100 – 36M,20001,PAN-NS100-36M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NS100 – 36M,20006,PAN-NS100-36M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NS200 – 36M,20001,PAN-NS200-36M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NS200 – 36M,20006,PAN-NS200-36M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NSVE Virtual Edition – 12M,20001,PAN-NSVE-12M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NSVE Virtual Edition – 12M,20006,PAN-NSVE-12M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NSVE Virtual Edition – 36M,20001,PAN-NSVE-36M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Security Appliance - NSVE Virtual Edition – 36M,20006,PAN-NSVE-36M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Tactical Response Module – 12M – Medium Appliance,20001,PAN-TACM-12M-M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Tactical Response Module – 12M – Medium Appliance,20006,PAN-TACM-12M-M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Tactical Response Module – 12M – Small Appliance,20001,PAN-TACM-12M-S-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Tactical Response Module – 12M – Small Appliance,20001,PAN-TRM-12M-S-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Tactical Response Module – 12M – Small Appliance,20006,PAN-TACM-12M-S,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Tactical Response Module – 36M – Medium Appliance,20001,PAN-TACM-36M-M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Tactical Response Module – 36M – Medium Appliance,20006,PAN-TACM-36M-M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Tactical Response Module – 36M – Small Appliance,20001,PAN-TRM-36M-S-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Tactical Response Module – 36M – Small Appliance,20006,PAN-TACM-36M-S,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Third Party Detection Module - 12M - 100-149 Assets,20001,PAN-TPDM-12M-S2-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Third Party Detection Module - 12M - 100-149 Assets,20006,PAN-TPDM-12M-S2,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Threat Intelligence Feeds – 12M – Small Appliance,20001,PAN-CTIF-12M-S-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Threat Intelligence Feeds – 12M – Small Appliance,20006,PAN-CTIF-12M-S,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - External - 12M – 10 IP Addr.,20001,PAN-VDME-12M-10-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - External - 12M – 10 IP Addr.,20001,PAN-VDM-EXT-12M-10-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - External - 12M – 10 IP Addr.,20006,PAN-VDME-12M-10,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - External - 12M – 50-99 IP Addr.,20001,PAN-VDME-12M-S1-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - External - 12M – 50-99 IP Addr.,20006,PAN-VDME-12M-S1,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - Virtual Scanner – 12M,20001,PAN-VDM-INT-VS-12M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - Virtual Scanner – 12M,20001,PAN-VDMI-VS-12M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - Virtual Scanner – 12M,20006,PAN-VDMI-VS-12M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - Web Application Scanner – 36M - Single Web App,20001,PAN-VDMW-36M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
PanOptikon Vulnerability Detection Module - Web Application Scanner – 36M - Single Web App,20006,PAN-VDMW-36M,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
"Powersupply - AC/DC, 12V, 6.25A, grey",4007,PSU-12VDC-70W-GR+,INSTALLAZIONE COLLABORATION,Inventario
"Powersupply - AC/DC, 12V, 6.25A, grey",4008,PSU-12VDC-70W-GR-,CISCO VIDEOCONFERENZA/BOARD,Inventario
Pro Pack for Cisco Webex Control Hub (1),4008,A-SPK-NU-HUB-PRO,CISCO VIDEOCONFERENZA/BOARD,Non in inventario
Pro Pack for Cisco Webex Control Hub (1),4015,A-SPK-EDU-HUB-PRO,CISCO COLLABORATION A CANONE,Non in inventario
"PureLink Cavo Audio mjack 3,5mm 2m",1002,66S-AC505-020,CABLAGGIO ALTERNATIVO,Inventario
"PureLink Cavo Audio mjack 3,5mm 2m",4009,66S-AC500-020,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
RACC.D.20 STOP TUBO GUAINA IP67 IP6,1002,INRTG20,CABLAGGIO ALTERNATIVO,Inventario
RACC.D.20 STOP TUBO GUAINA IP67 IP6,1003,INRTG25,TBD******,Inventario
RACCORDO TUBO SCATOLA STOP IP67 IMQ,1002,INRST20,CABLAGGIO ALTERNATIVO,Inventario
RACCORDO TUBO SCATOLA STOP IP67 IMQ,1003,INRST25,TBD******,Inventario
RACCORDO TUBO SCATOLA STOP IP67 IMQ,1003,INRST40,TBD******,Inventario
RC530Z EP WH SET ( 2PCS),24001,RC530Z,BUILDING AUTOMATION,Inventario
RC530Z EP WH SET ( 2PCS),24002,910403219703,ALTRI IMPIANTI TECNOLOGICI,Inventario
Raspberry Pi Camera Module 3,24001,PI CAMERA V3,BUILDING AUTOMATION,Inventario
Raspberry Pi Camera Module 3,3004,SC0872,CLOUD VARIE HW,Inventario
Raspberry Pi Camera Module 3,3004,SC0874,CLOUD VARIE HW,Inventario
Reversible CMA for C220 M6 ball bearing rail kit,3009,UCSC-CMA-C220M6,SERVER CISCO,Inventario
Reversible CMA for C220 M6 ball bearing rail kit,3030,HX-CMA-C220M6,STORAGE IPERCONVERGENZA CISCO,Inventario
Ricetrasmettitore con base da tavolo per sistema Microflex Wireless. Compatibile con microfoni Micro,4007,MXW8=-Z11,INSTALLAZIONE COLLABORATION,Inventario
Ricetrasmettitore con base da tavolo per sistema Microflex Wireless. Compatibile con microfoni Micro,4009,MXW8X=-Z11,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
S/N CHASSIS : Ordine EI:,2006,EI C540699002,APPARATI VARI,Inventario
S/N CHASSIS : Ordine EI:,2006,EI C540699327,APPARATI VARI,Inventario
S/N CHASSIS : Ordine EI:,2006,EI C540699328,APPARATI VARI,Inventario
S/N CHASSIS : Ordine EI:,2006,EI C540699341,APPARATI VARI,Inventario
S/N CHASSIS : Ordine EI:,3010,EI C540699329,SERVER HP,Inventario
S/n Chassis - Ordine EI,1002,EI 591129296,CABLAGGIO ALTERNATIVO,Inventario
S/n Chassis - Ordine EI,2002,EI 470499084,APPARATI CISCO LAN,Inventario
S/n Chassis - Ordine EI,2002,EI 470799022,APPARATI CISCO LAN,Inventario
S/n Chassis - Ordine EI,2002,EI 470799022.,APPARATI CISCO LAN,Inventario
S/n Chassis - Ordine EI,2002,EI 470799061,APPARATI CISCO LAN,Inventario
S/n Chassis - Ordine EI,2002,EI 591129286,APPARATI CISCO LAN,Inventario
S/n Chassis - Ordine EI,2002,EI 591129287,APPARATI CISCO LAN,Inventario
S/n Chassis: - Ordine EI:,2002,EI C540699253,APPARATI CISCO LAN,Inventario
S/n Chassis: - Ordine EI:,2003,EI 470499007,APPARATI CISCO WAN,Inventario
S/n Chassis: - Ordine EI:,2003,EI 470499076,APPARATI CISCO WAN,Inventario
S/n Chassis: - Ordine EI:,2003,EI 480511001,APPARATI CISCO WAN,Inventario
S/n Chassis: - Ordine EI:,2003,EI 484511080,APPARATI CISCO WAN,Inventario
S/n Chassis: - Ordine EI:,2003,EI 540699101,APPARATI CISCO WAN,Inventario
S/n Chassis: - Ordine EI:,2003,EI 540699143,APPARATI CISCO WAN,Inventario
S/n Chassis: - Ordine EI:,2003,EI 540799038,APPARATI CISCO WAN,Inventario
S/n Chassis: - Ordine EI:,2006,EI C540699003,APPARATI VARI,Inventario
S/n Chassis: - Ordine EI:,2006,EI C540699338,APPARATI VARI,Inventario
S/n Chassis: - Ordine EI:,2006,EI C540699343,APPARATI VARI,Inventario
S/n Chassis: - Ordine EI:,2006,EI C540699344,APPARATI VARI,Inventario
S/n Chassis: - Ordine EI:,2006,EI C540699344.,APPARATI VARI,Inventario
SCARICO CON GRU su piano strada fianco camion . Previa accessibilità dei mezzi - ESCLUSO posizioname,17005,SCA.MA.04.460-630,ALTRO DATA CENTER,Non in inventario
SCARICO CON GRU su piano strada fianco camion . Previa accessibilità dei mezzi - ESCLUSO posizioname,99010,SCA.MA.02.150-250,SPESE TRASPORTO FORNITORI,Non in inventario
SCATOLA INC. 4M P/LEGGERE AZZURRO,1002,VIV71704,CABLAGGIO ALTERNATIVO,Inventario
SCATOLA INC. 4M P/LEGGERE AZZURRO,1003,VIV71614,TBD******,Inventario
SINGLE PACK OPTION,2001,C9120AXE-SINGLE,APPARATI CISCO WIRELESS,Inventario
SINGLE PACK OPTION,2001,C9136I-SINGLE,APPARATI CISCO WIRELESS,Inventario
SINGLE PACK OPTION,2001,CW9162I-SINGLE,APPARATI CISCO WIRELESS,Inventario
SINGLE PACK OPTION,2001,CW9164I-SINGLE,APPARATI CISCO WIRELESS,Inventario
SINGLE PACK OPTION,2001,CW9166I-SINGLE,APPARATI CISCO WIRELESS,Inventario
SINGLE PACK OPTION,2001,CW9172I-SINGLE,APPARATI CISCO WIRELESS,Inventario
SINGLE PACK OPTION,2002,C9120AXI-SINGLE,APPARATI CISCO LAN,Inventario
SINGLE PACK OPTION,2002,C9130-SINGLE,APPARATI CISCO LAN,Inventario
SIRENA DA ESTERNO Abs Bianco/Blu,2014,AG6WB,CONTROLLO ACCESSI,Inventario
SIRENA DA ESTERNO Abs Bianco/Blu,24001,AG6/WB,BUILDING AUTOMATION,Inventario
"SL110 Series Modular Jack, RJ45, category 6, T568A/T568B, unshielded, without dust cover, alpine whi",1001,1-1375055-3,CABLAGGI COMMSCOPE,Inventario
"SL110 Series Modular Jack, RJ45, category 6, T568A/T568B, unshielded, without dust cover, alpine whi",1002,1-2291216-3,CABLAGGIO ALTERNATIVO,Inventario
SPCK620.100 Tastiera Comfort,1016,V54543-F110-A100,CONTROLLI ACCESSI,Inventario
SPCK620.100 Tastiera Comfort,2014,V54543-F110-B100,CONTROLLO ACCESSI,Inventario
SRST Endpoints (1),4015,A-FLEX-SRST-EP,CISCO COLLABORATION A CANONE,Non in inventario
SRST Endpoints (1),4016,A-FLEX-SRST-E,RINNOVO CISCO COLLABORATION A CANONE,Non in inventario
SUPPORTO 3 MODULI CON VITI,1002,VI14613,CABLAGGIO ALTERNATIVO,Inventario
SUPPORTO 3 MODULI CON VITI,1003,VI16713,TBD******,Inventario
SaaS Detection - 1500-1999 Users,20001,PAN-SADM-36M-S9-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
SaaS Detection - 1500-1999 Users,20006,PAN-SADM-COTR-S9,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
SaaS Detection - 500-749 Users,20001,PAN-SADM-36M-S6-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
SaaS Detection - 500-749 Users,20001,PAN-SADM-COTR-S6-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
SaaS Detection - 500-749 Users,20006,PAN-SADM-36M-S6,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Service Pack 3 Years Parts and Software Support Extended Warranty for 1 NetBotz 2-Series,17,WBEXTWAR3YR-NB-02,DATACENTER INFRASTRUCTURE,Assistenza
Service Pack 3 Years Parts and Software Support Extended Warranty for 1 NetBotz 2-Series,17007,WBEXTWAR3YR-NB-02.,INSTALLAZIONE DATA CENTER,Non in inventario
Sirena Mini Doge bianco,2014,20.203.361,CONTROLLO ACCESSI,Inventario
Sirena Mini Doge bianco,24001,VEN-20.203.361,BUILDING AUTOMATION,Inventario
Small Secure Network Server for ISE Applications,3009,SNS-3615-K9,SERVER CISCO,Inventario
Small Secure Network Server for ISE Applications,6001,SNS-3715-K9,CISCO SECURITY,Inventario
