Descrizione Articolo,Lob Associata,Codice Articolo,Nome LOB,Inventario
Cisco 12G SAS HBA for(16 Drives) w/2U Brkt,3030,HX-SAS-240M6,STORAGE IPERCONVERGENZA CISCO,Inventario
Cisco 8821 Power Supply for United Kingdom,2002,CP-PWR-8821-UK=,APPARATI CISCO LAN,Inventario
Cisco 8821 Power Supply for United Kingdom,4001,CP-PWR-8821-UK,TELEFONIA IP,Inventario
Cisco Boot optimized M.2 Raid controller,3009,UCS-M2-HWRAID,SERVER CISCO,Inventario
Cisco Boot optimized M.2 Raid controller,3009,UCS-M2-HWRAID.,SERVER CISCO,Inventario
Cisco Boot optimized M.2 Raid controller,3009,UCS-M2-HWRAID-D,SERVER CISCO,Inventario
Cisco Boot optimized M.2 Raid controller,3009,UCSX-M2-HWRAID,SERVER CISCO,Inventario
Cisco Boot optimized M.2 Raid controller,3030,HX-M2-HWRAID,STORAGE IPERCONVERGENZA CISCO,Inventario
Cisco Catalyst 9115AX Series,2001,C9115AXE-E,APPARATI CISCO WIRELESS,Inventario
Cisco Catalyst 9115AX Series,2001,C9115AXE-EWC-I,APPARATI CISCO WIRELESS,Inventario
Cisco Catalyst 9115AX Series,2001,C9115AXI-I,APPARATI CISCO WIRELESS,Inventario
Cisco Catalyst 9115AX Series,2006,C9115AXI-E,APPARATI VARI,Inventario
Cisco Catalyst 9120AX Series,2001,C9120AXE-E,APPARATI CISCO WIRELESS,Inventario
Cisco Catalyst 9120AX Series,2006,C9120AXI-E,APPARATI VARI,Inventario
Cisco Catalyst 9800-40 Wireless Controller,2001,SC980040K9-173,APPARATI CISCO WIRELESS,Inventario
Cisco Catalyst 9800-40 Wireless Controller,2006,C9800-40-K9,APPARATI VARI,Inventario
Cisco Catalyst 9800-CL Wireless Controller - AWS,2001,SC9800CLAMIK9-179,APPARATI CISCO WIRELESS,Inventario
Cisco Catalyst 9800-CL Wireless Controller - AWS,2002,SC9800CLAMIK9-173,APPARATI CISCO LAN,Inventario
Cisco Catalyst 9800-L Wireless Controller_Fiber Uplink,2001,C9800-L-F-K9.,APPARATI CISCO WIRELESS,Inventario
Cisco Catalyst 9800-L Wireless Controller_Fiber Uplink,2002,C9800-L-F-K9,APPARATI CISCO LAN,Inventario
Cisco Ceiling Microphone Gen 2 stand alone kit,2006,CTS-MIC-CLNG-G2=,APPARATI VARI,Inventario
Cisco Ceiling Microphone Gen 2 stand alone kit,4001,CTS-MIC-CLNG-G2,TELEFONIA IP,Inventario
Cisco ISR 4300 Series IOS XE Universal,2002,SISR4300UK9-166,APPARATI CISCO LAN,Inventario
Cisco ISR 4300 Series IOS XE Universal,2003,SISR4300UK9-169,APPARATI CISCO WAN,Inventario
