Descrizione Articolo,lob_nunique,lob_values,lob_code_description
Network Sensor - XL,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Network Tactical Response - L,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Network Tactical Response - S,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Network Tactical Response - XL,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Next Generation Firewall Package for additional 1 year for 3800 Base Appliance,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Next Generation Threat Prevention and Sandblast for additional 1 year for 3600 Base Appliance,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Next Generation Threat Prevention and Sandblast for additional 1 year for 6200PLUS Appliance,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Next Generation Threat Prevention for additional 2 years for 7000 PLUS Appliance,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
"OPT OUT, TPM 2.0, TCG, FIPS140-2, CC EAL4+ Certified",2,3009 | 3030,"3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
Office 365 E3,2,3002 | 3015,"3002 - SOFTWARE MICROSOFT
3015 - RINNOVO SOFTWARE MICROSOFT"
POWER BI PRO,2,3002 | 3015,"3002 - SOFTWARE MICROSOFT
3015 - RINNOVO SOFTWARE MICROSOFT"
PR.MOB.IP44 3PNT 32A 380V CR,2,1003 | 17001,"1003 - TBD******
17001 - SISTEMI SCHNEIDER"
